序号,中文名称,英文名称,学名
1,非洲鸵鸟,Common Ostrich,Struthio camelus
2,索马里鸵鸟,Somali Ostrich,Struthio molybdophanes
3,大美洲鸵,Greater Rhea,Rhea americana
4,小美洲鸵,Lesser Rhea,Rhea pennata
5,褐几维,Southern Brown Kiwi,Apteryx australis
6,北岛褐几维鸟,North Island Brown Kiwi,Apteryx mantelli
7,欧加里托几维鸟,Okarito Kiwi,Apteryx rowi
8,小斑几维,Little Spotted Kiwi,Apteryx owenii
9,大斑几维,Great Spotted Kiwi,Apteryx haastii
10,双垂鹤鸵,Southern Cassowary,Casuarius casuarius
11,侏鹤鸵,Dwarf Cassowary,Casuarius bennetti
12,单垂鹤鸵,Northern Cassowary,Casuarius unappendiculatus
13,鸸鹋,Emu,Dromaius novaehollandiae
14,灰䳍,Grey Tinamou,Tinamus tao
15,孤䳍,Solitary Tinamou,Tinamus solitarius
16,黑䳍,Black Tinamou,Tinamus osgoodi
17,大䳍,Great Tinamou,Tinamus major
18,白喉䳍,White-throated Tinamou,Tinamus guttatus
19,高原林䳍,Highland Tinamou,Nothocercus bonapartei
20,茶胸林䳍,Tawny-breasted Tinamou,Nothocercus julius
21,斗篷林䳍,Hooded Tinamou,Nothocercus nigrocapillus
22,伯氏穴䳍,Berlepsch's Tinamou,Crypturellus berlepschi
23,灰穴䳍,Cinereous Tinamou,Crypturellus cinereus
24,小穴䳍,Little Tinamou,Crypturellus soui
25,灰喉穴䳍,Tepui Tinamou,Crypturellus ptaritepui
26,褐穴䳍,Brown Tinamou,Crypturellus obsoletus
27,波斑穴䳍,Undulated Tinamou,Crypturellus undulatus
28,淡眉穴䳍,Pale-browed Tinamou,Crypturellus transfasciatus
29,巴西穴䳍,Brazilian Tinamou,Crypturellus strigulosus
30,灰腿穴䳍,Grey-legged Tinamou,Crypturellus duidae
31,红脚穴䳍,Red-legged Tinamou,Crypturellus erythropus
32,黄腿穴䳍,Yellow-legged Tinamou,Crypturellus noctivagus
33,黑顶穴䳍,Black-capped Tinamou,Crypturellus atrocapillus
34,棕穴䳍,Thicket Tinamou,Crypturellus cinnamomeus
35,灰胸穴䳍,Slaty-breasted Tinamou,Crypturellus boucardi
36,乔科穴䳍,Choco Tinamou,Crypturellus kerriae
37,杂色穴䳍,Variegated Tinamou,Crypturellus variegatus
38,锈色穴䳍,Rusty Tinamou,Crypturellus brevirostris
39,巴氏穴䳍,Bartlett's Tinamou,Crypturellus bartletti
40,小嘴穴䳍,Small-billed Tinamou,Crypturellus parvirostris
41,斑穴䳍,Barred Tinamou,Crypturellus casiquiare
42,塔陶穴䳍,Tataupa Tinamou,Crypturellus tataupa
43,红翅䳍,Red-winged Tinamou,Rhynchotus rufescens
44,秘鲁红翅䳍,Huayco Tinamou,Rhynchotus maculicollis
45,高山斑䳍,Taczanowski's Tinamou,Nothoprocta taczanowskii
46,丽色斑䳍,Ornate Tinamou,Nothoprocta ornata
47,智利斑䳍,Chilean Tinamou,Nothoprocta perdicaria
48,灰斑䳍,Brushland Tinamou,Nothoprocta cinerascens
49,安第斯斑䳍,Andean Tinamou,Nothoprocta pentlandii
50,弯嘴斑䳍,Curve-billed Tinamou,Nothoprocta curvirostris
51,白腹拟䳍,White-bellied Nothura,Nothura boraquira
52,小拟䳍,Lesser Nothura,Nothura minor
53,达尔文拟䳍,Darwin's Nothura,Nothura darwinii
54,斑拟䳍,Spotted Nothura,Nothura maculosa
55,*查科拟䳍,Chaco Nothura,Nothura chacoensis
56,侏䳍,Dwarf Tinamou,Taoniscus nanus
57,凤头䳍,Elegant Crested Tinamou,Eudromia elegans
58,丽凤头䳍,Quebracho Crested Tinamou,Eudromia formosa
59,北山䳍,Puna Tinamou,Tinamotis pentlandii
60,南山䳍,Patagonian Tinamou,Tinamotis ingoufi
61,角叫鸭,Horned Screamer,Anhima cornuta
62,黑颈叫鸭,Northern Screamer,Chauna chavaria
63,冠叫鸭,Southern Screamer,Chauna torquata
64,鹊雁,Magpie Goose,Anseranas semipalmata
65,白脸树鸭,White-faced Whistling Duck,Dendrocygna viduata
